ID,cap,uncap,dhh1_1,Assigned_gene_name
847,109,301,0.2658536585365854,YDL189W
849,364,497,0.4227642276422765,YDL185W
852,367,522,0.4128233970753656,YDL182W
854,4373,2357,0.649777117384844,YDL181W
855,50,36,0.5813953488372093,YDL180W
856,20,45,0.3076923076923077,YDL179W
857,164,254,0.3923444976076555,YDL179W
858,136,144,0.4857142857142857,YDL178W
861,25,110,0.1851851851851852,YDL176W
862,115,144,0.444015444015444,YDL173W
863,96,109,0.4682926829268293,YDL170W
864,201,465,0.30180180180180183,YDL168W
865,4,11,0.26666666666666666,YDL165W
866,135,564,0.1931330472103004,YDL165W
867,0,3,0.0,YDL161W
868,965,1215,0.4426605504587156,YDL161W
870,16,16,0.5,YDL159W-A
871,40,181,0.18099547511312214,YDL159W
872,6,7,0.4615384615384616,YDL156W
873,407,194,0.6772046589018302,YDL155W
875,151,394,0.27706422018348625,YDL150W
876,46,63,0.4220183486238532,YDL149W
877,3156,2972,0.5150130548302873,YDL147W
880,18,14,0.5625,YDL146W
882,773,1505,0.33933274802458296,YDL143W
883,189,254,0.4266365688487585,YDL141W
884,10,11,0.4761904761904762,YDL141W
887,52,55,0.485981308411215,YDL138W
888,0,3,0.0,YDL138W
889,2889,7467,0.27896871378910776,YDL137W
891,7171,26187,0.21497092151807665,YDL136W
896,0,6,0.0,YDL133W
897,89,109,0.4494949494949495,YDL133W
898,57,26,0.6867469879518072,YDL133W
900,158,326,0.3264462809917356,YDL132W
901,473,255,0.6497252747252747,YDL131W
902,4057,928,0.8138415245737212,YDL130W-A
904,10151,5147,0.6635507909530658,YDL130W
906,50,91,0.3546099290780142,YDL129W
907,950,1131,0.4565112926477655,YDL128W
909,3,3,0.5,YDL127W
910,168,173,0.4926686217008798,YDL127W
913,1,6,0.14285714285714285,YDL124W
914,2070,8690,0.19237918215613384,YDL124W
917,2,60,0.03225806451612903,YDL123W
918,415,381,0.5213567839195979,YDL123W
920,26,26,0.5,YDL122W
921,169,369,0.3141263940520446,YDL122W
922,60,151,0.2843601895734597,YDL122W
923,366,343,0.5162200282087447,YDL120W
925,77,68,0.5310344827586206,YDL117W
926,245,194,0.5580865603644647,YDL117W
927,261,234,0.5272727272727272,YDL116W
928,14,7,0.6666666666666666,YDL114W-A
929,53,137,0.2789473684210526,YDL112W
931,303,212,0.5883495145631068,YDL108W
932,130,84,0.6074766355140186,YDL107W
937,18,5,0.7826086956521741,YDL105W
938,70,53,0.5691056910569106,YDL105W
940,286,130,0.6875,YDL102W
941,477,942,0.3361522198731501,YDL099W
942,218,181,0.5463659147869674,YDL095W
943,17,94,0.15315315315315314,YDL093W
946,249,2538,0.08934337997847147,YDL092W
949,41,78,0.3445378151260504,YDL089W
950,6,35,0.14634146341463414,YDL089W
951,1286,629,0.6715404699738904,YDL086W
953,6,21,0.2222222222222222,YDL085W
954,1167,1133,0.5073913043478261,YDL084W
955,5,5,0.5,YDL084W
956,12718,6694,0.6551617556150835,YDL082W
967,6,34,0.15,YDL075W
