ID,wt_a,pat_a,m/w,log
12427,0.7122598431980701,0.4930872906163604,0.69,-0.5353317329965557
12435,0.9849106255809664,0.9487930912047102,0.96,-0.058893689053568565
12439,0.8192541060780416,0.6128623188405797,0.75,-0.4150374992788438
12444,0.5500980883212288,0.4514023130302857,0.82,-0.2863041851566411
12446,0.8418803418803419,0.6450262136583373,0.77,-0.3770696490798233
12447,0.8600799331775553,0.6528635995682677,0.76,-0.3959286763311392
12449,0.8460385835707172,0.7034108458066048,0.83,-0.2688167584278
12451,0.8601295190745333,0.8040660477561168,0.93,-0.10469737866669322
12452,0.6182983682983683,0.3844436813186813,0.62,-0.6896598793878495
12458,0.7741967084639498,0.5124608021125598,0.66,-0.5994620704162712
12459,0.7144045458473771,0.6093081761006289,0.85,-0.23446525363702297
12461,0.8127540650406504,0.4545528455284553,0.56,-0.8365012677171204
12462,0.4891544117647058,0.2181818181818181,0.45,-1.15200309344505
12463,0.5810384696237124,0.4399937411985604,0.76,-0.3959286763311392
12467,0.8468768074031232,0.6900458650630237,0.81,-0.3040061868900999
12474,0.9134992752399856,0.7701534945752433,0.84,-0.2515387669959645
12478,0.6307697120422943,0.4577700899053965,0.73,-0.4540316308947075
12482,0.7223946088629278,0.5089549770725899,0.7,-0.5145731728297583
12483,0.6672129695251594,0.52453130374957,0.79,-0.3400754415976217
12485,0.7721367107017332,0.5782388663967611,0.75,-0.4150374992788438
12486,0.5709012938078336,0.3657803302143734,0.64,-0.6438561897747246
12488,0.6570095111700951,0.4643461496621663,0.71,-0.49410907027004275
12489,0.8350507416081188,0.6685202972549416,0.8,-0.3219280948873623
12490,0.4188505062537224,0.2069633450395084,0.49,-1.0291463456595165
12492,0.7220988470988471,0.5075582036853139,0.7,-0.5145731728297583
12495,0.8594788858939802,0.6444835875331565,0.75,-0.4150374992788438
12498,0.7738095238095238,0.5453585873532603,0.7,-0.5145731728297583
12499,0.8637246406939787,0.7573773570730975,0.88,-0.18442457113742744
12502,0.487427701674277,0.3499547018079573,0.72,-0.47393118833241243
12505,0.8391603328868841,0.6445629022024834,0.77,-0.3770696490798233
12507,0.7151848273084719,0.5505168479510529,0.77,-0.3770696490798233
12508,0.33712017630338065,0.2783345026812283,0.83,-0.2688167584278
12515,0.7708607985610776,0.5942830745656534,0.77,-0.3770696490798233
12518,0.7816623005477494,0.6035384557410408,0.77,-0.3770696490798233
12520,0.6935483870967742,0.6019736842105263,0.87,-0.20091269392599642
12522,0.4152813299232737,0.28705771240273903,0.69,-0.5353317329965557
12526,0.7054885181308872,0.5464778033054176,0.77,-0.3770696490798233
12527,0.7267035249196138,0.4915698457873148,0.68,-0.5563933485243852
12531,0.679301116634441,0.5723737524411635,0.84,-0.2515387669959645
12532,0.6955276811834188,0.4541860006672126,0.65,-0.6214883767462702
12533,0.7663174987264392,0.5419294990723562,0.71,-0.49410907027004275
12534,0.7853389103389103,0.5397453170498501,0.69,-0.5353317329965557
12535,0.636354936069317,0.3933713047548424,0.62,-0.6896598793878495
12539,0.6747682746998105,0.4748490977966773,0.7,-0.5145731728297583
12540,0.7682428096377107,0.5802350214260243,0.76,-0.3959286763311392
12541,0.9251200852920832,0.8736138043873469,0.94,-0.08926733809708741
12542,0.7238510622477881,0.4536204569187276,0.63,-0.6665762662748083
12543,0.8007146813130035,0.6180265901981229,0.77,-0.3770696490798233
12548,0.6161693725318123,0.4308250572956456,0.7,-0.5145731728297583
12550,0.5675345447291458,0.28971791811870645,0.51,-0.9714308478032291
12553,0.930687588073456,0.9091447275746768,0.98,-0.029146345659516508
12554,0.7080007317893238,0.5756478676519163,0.81,-0.3040061868900999
12555,0.8141977457514159,0.5250216096665979,0.64,-0.6438561897747246
12556,0.9006228736989815,0.6752661484383858,0.75,-0.4150374992788438
12559,0.9191867900475722,0.8332408253885333,0.91,-0.13606154957602837
12572,0.8346652635645909,0.7104870258907579,0.85,-0.23446525363702297
12577,0.8305365979502334,0.8162164382661277,0.98,-0.029146345659516508
12584,0.9159968616047732,0.848974563252354,0.93,-0.10469737866669322
12606,0.8299731182795699,0.7425602719720367,0.89,-0.16812275880832692
12614,0.7256578309619466,0.5131003916718202,0.71,-0.49410907027004275
12615,0.6271186440677966,0.6137014925373134,0.98,-0.029146345659516508
12617,0.7075765790187043,0.5726806292087194,0.81,-0.3040061868900999
12623,0.4217992377258069,0.19013233987119085,0.45,-1.15200309344505
12635,0.5918926661573721,0.5029682872450169,0.85,-0.23446525363702297
12636,0.4554017025318768,0.28957569542610245,0.64,-0.6438561897747246
12638,0.3868946099545,0.24397843970848054,0.63,-0.6665762662748083
12640,0.4469145398499075,0.2593229877950732,0.58,-0.7858751946471527
12642,0.5186419551806289,0.3097109156874545,0.6,-0.7369655941662062
12644,0.7691375034444751,0.541843654519711,0.7,-0.5145731728297583
12645,0.42681648416942536,0.40626826131359495,0.95,-0.07400058144377693
12652,0.7328525799334848,0.5418558050136997,0.74,-0.4344028241457749
12654,0.8584150326797386,0.7036844304047962,0.82,-0.2863041851566411
12658,0.6748038392759388,0.4997800402212167,0.74,-0.4344028241457749
12662,0.7723413631022327,0.5235549132947978,0.68,-0.5563933485243852
12665,0.793889678482993,0.6800578647761863,0.86,-0.2175914350726268
12667,0.5915060333823052,0.4689928709059933,0.79,-0.3400754415976217
12668,0.6150342664403721,0.3366362505847965,0.55,-0.862496476250065
12672,0.7698844466936572,0.6690993200225885,0.87,-0.20091269392599642
12674,0.7778656952614136,0.6176829024053194,0.79,-0.3400754415976217
12676,0.7096774193548387,0.5686976192242083,0.8,-0.3219280948873623
12682,0.3188126284686537,0.22003074387385546,0.69,-0.5353317329965557
12683,0.7083346920142173,0.4331877001118255,0.61,-0.7131188522118385
12686,0.7542287335625034,0.6053059414720663,0.8,-0.3219280948873623
12688,0.9295010082166422,0.8630672205200959,0.93,-0.10469737866669322
12690,0.7302214761466399,0.5028221819380356,0.69,-0.5353317329965557
12692,0.6713697572690625,0.5362199312714777,0.8,-0.3219280948873623
12693,0.5903358786592683,0.3214533922804231,0.54,-0.888968687611256
12696,0.4133771929824561,0.3076923076923077,0.74,-0.4344028241457749
12699,0.5711689832382851,0.3777420015473536,0.66,-0.5994620704162712
