ID,wt_a,dhh_a,m/w,log
2654,0.8551272116750613,0.521899639085374,0.61,-0.7131188522118385
2657,0.6288590832303489,0.3354537004763564,0.53,-0.9159357352115255
2661,0.7101246862602217,0.4064668083254397,0.57,-0.8109661756099832
2662,0.4728849581790758,0.1779211961402778,0.38,-1.3959286763311392
2667,0.5994416634578359,0.3379340277777778,0.56,-0.8365012677171204
2669,0.8699129714048902,0.6793759512937595,0.78,-0.3584539709124763
2670,0.7938698206555349,0.4601041141897565,0.58,-0.7858751946471527
2673,0.5991945403325001,0.3520443105160429,0.59,-0.7612131404128835
2675,0.5920192596562168,0.3799754348824669,0.64,-0.6438561897747246
2679,0.5266847580280416,0.2882564741725523,0.55,-0.862496476250065
2680,0.6320585330819644,0.35087966220971145,0.56,-0.8365012677171204
2682,0.6792349726775956,0.4219275115040587,0.62,-0.6896598793878495
2683,0.7917982694421879,0.44618859388281895,0.56,-0.8365012677171204
2684,0.8714585289240245,0.6852890915390915,0.79,-0.3400754415976217
2690,0.7362025151495406,0.33623945172269104,0.46,-1.1202942337177118
2691,0.4999938247208774,0.3800588300588301,0.76,-0.3959286763311392
2695,0.8316261203585147,0.4792636734299983,0.58,-0.7858751946471527
2696,0.5390785987636149,0.2667630257520616,0.49,-1.0291463456595165
2697,0.7849684813753581,0.4012867857262974,0.51,-0.9714308478032291
2699,0.581,0.4264705882352941,0.73,-0.4540316308947075
2700,0.5541859529212547,0.28116780473778225,0.51,-0.9714308478032291
2708,0.513525928950592,0.2454076116723104,0.48,-1.0588936890535685
2712,0.7995140612076096,0.4597442310500949,0.58,-0.7858751946471527
2715,0.8488101517172908,0.8080847410247194,0.95,-0.07400058144377693
2723,0.7546517475484034,0.6550541783745616,0.87,-0.20091269392599642
2724,0.8067325909153922,0.7348607348896838,0.91,-0.13606154957602837
2729,0.7820154245937738,0.5418768390079866,0.69,-0.5353317329965557
2732,0.8051200391964723,0.6774364266624329,0.84,-0.2515387669959645
2738,0.908875262016294,0.7432450090640315,0.82,-0.2863041851566411
2739,0.8991202346041056,0.6184588990735749,0.69,-0.5353317329965557
2740,0.7930008332341387,0.5834052343974692,0.74,-0.4344028241457749
2744,0.6270933115159346,0.3663931415439532,0.58,-0.7858751946471527
2747,0.7519061994273621,0.3638113533614158,0.48,-1.0588936890535685
2748,0.6429355555001123,0.3055442180622815,0.48,-1.0588936890535685
2749,0.8412581095507925,0.6492268201692424,0.77,-0.3770696490798233
2751,0.6195486341490982,0.2975171267008587,0.48,-1.0588936890535685
2755,0.8515408835034826,0.6596418936946017,0.77,-0.3770696490798233
2757,0.6518497810082937,0.4207336780866192,0.65,-0.6214883767462702
2761,0.6588858101581168,0.3127298056787676,0.47,-1.0892673380970874
2765,0.7691798941798942,0.4644722691657705,0.6,-0.7369655941662062
2766,0.5751599147121536,0.3692307692307693,0.64,-0.6438561897747246
2769,0.5689070083372592,0.2327786464868761,0.41,-1.286304185156641
2771,0.7185526790546635,0.5148585823417371,0.72,-0.47393118833241243
2773,0.6559979838709677,0.3555924553227404,0.54,-0.888968687611256
2775,0.6452964174579111,0.4446931110768123,0.69,-0.5353317329965557
2776,0.7566349556387506,0.5422339265794545,0.72,-0.47393118833241243
2779,0.866214149369331,0.6497447380206001,0.75,-0.4150374992788438
2785,0.5245901639344263,0.3036294942863337,0.58,-0.7858751946471527
2788,0.9191986744852292,0.7783399150154728,0.85,-0.23446525363702297
2789,0.6027397260273972,0.3961575103207368,0.66,-0.5994620704162712
2790,0.7092947262510283,0.488652030652709,0.69,-0.5353317329965557
2793,0.6726752294768252,0.4097572858534857,0.61,-0.7131188522118385
2795,0.5677592954990216,0.453125,0.8,-0.3219280948873623
2796,0.6059958098447049,0.5669432171904809,0.94,-0.08926733809708741
2798,0.6663711633705064,0.4523792649589957,0.68,-0.5563933485243852
2801,0.7706659495075133,0.4974590942089686,0.65,-0.6214883767462702
2803,0.8891069781410215,0.5292056240116677,0.6,-0.7369655941662062
2807,0.8063650752084905,0.6429172422270011,0.8,-0.3219280948873623
2813,0.5065853658536585,0.23055852175124195,0.46,-1.1202942337177118
2814,0.7644477326809694,0.43916992901603386,0.57,-0.8109661756099832
2821,0.6518202764976958,0.4305555555555556,0.66,-0.5994620704162712
2822,0.8432808919329505,0.6176945364238411,0.73,-0.4540316308947075
2824,0.8876436781609196,0.5149804905239688,0.58,-0.7858751946471527
2829,0.5859203581806322,0.4512279249448123,0.77,-0.3770696490798233
2831,0.8862732095490716,0.7554782160350606,0.85,-0.23446525363702297
2832,0.3743808049535604,0.27369037573154953,0.73,-0.4540316308947075
2839,0.7241609968189384,0.3954255520579395,0.55,-0.862496476250065
2840,0.8006329657052041,0.5881383980081374,0.73,-0.4540316308947075
2841,0.8565894332939787,0.6487521879058212,0.76,-0.3959286763311392
2842,0.7447830578512398,0.4848675914249685,0.65,-0.6214883767462702
2844,0.82724329875173,0.4555327624602206,0.55,-0.862496476250065
2850,0.4645315957708385,0.2014735772357724,0.43,-1.217591435072627
2851,0.6685340918971964,0.31562099871959026,0.47,-1.0892673380970874
2853,0.5148482855906437,0.2058928765830824,0.4,-1.3219280948873622
2856,0.4934124659575561,0.1530425232641126,0.31,-1.6896598793878495
2858,0.3251276977912492,0.18831170221664573,0.58,-0.7858751946471527
2860,0.20588856354524465,0.07412108308767333,0.36,-1.4739311883324124
2863,0.7477099302984478,0.5579119322288721,0.75,-0.4150374992788438
2864,0.6538119343457585,0.46224060940372996,0.71,-0.49410907027004275
2866,0.7800570108970195,0.4825861505797812,0.62,-0.6896598793878495
2869,0.7484055699559948,0.4019639934533552,0.54,-0.888968687611256
2872,0.6749884739511296,0.4916119402985074,0.73,-0.4540316308947075
2874,0.6603635699278341,0.2884432466708941,0.44,-1.1844245711374275
2875,0.8843401613416069,0.6823286072874779,0.77,-0.3770696490798233
2879,0.7483794403334862,0.5234794427454977,0.7,-0.5145731728297583
2881,0.9019607843137256,0.7906676838128451,0.88,-0.18442457113742744
2883,0.7799418604651163,0.6025803279015896,0.77,-0.3770696490798233
2885,0.763507604128608,0.5689371450696954,0.75,-0.4150374992788438
2888,0.7332526215200432,0.5541949880352922,0.76,-0.3959286763311392
