ID,wt1,Assigned_gene_name,wt2,dhh1_1,dhh1_2
3741,0.5714285714285714,YJR096W,0.6234309623430963,0.4537389100126743,0.41834451901566
3743,0.8521400778210116,YJR097W,0.8177966101694916,0.5782312925170068,0.4118895966029724
3744,0.3844660194174757,YJR099W,0.4343675417661098,0.2325141776937618,0.12849162011173185
3747,0.6845582163501238,YJR101W,0.6727976766698935,0.4668483197093552,0.341130604288499
3748,0.3900990099009901,YJR103W,0.3941747572815534,0.3523573200992556,0.2709832134292566
3750,0.6421568627450981,YJR105W,0.6827586206896552,0.4505494505494506,0.4153846153846154
3752,0.7514062117877232,YJR105W,0.7738313194190163,0.5583482944344704,0.3808347062053817
3758,0.7299270072992701,YJR112W,0.6652173913043479,0.515625,0.4236526946107784
3759,0.8967193195625759,YJR112W-A,0.896700143472023,0.7431372549019608,0.6491228070175439
3764,0.7064220183486238,YJR116W,0.7371794871794872,0.5153846153846153,0.44017094017094016
3768,0.3028587602604019,YJR117W,0.3125716469239587,0.134411947728687,0.0967218435572866
3769,0.4862330880607643,YJR121W,0.4980682549903413,0.2459977452085682,0.1449090909090909
3774,0.7319277108433735,YJR122W,0.6505576208178439,0.5683760683760684,0.3894230769230769
3777,0.4784396415392725,YJR123W,0.4717417993064679,0.269724310205199,0.15741093282567312
3788,0.6654676258992805,YJR131W,0.6464646464646465,0.5244755244755245,0.375
3790,0.8817204301075269,YJR132W,0.8636363636363636,0.6573426573426573,0.4330708661417323
3791,0.4928977272727273,YJR133W,0.5421133231240429,0.4590517241379311,0.3634259259259259
3793,0.6403508771929824,YJR135W-A,0.6611445783132529,0.4583333333333333,0.3257142857142857
3795,0.6538461538461539,YJR138W,0.6333333333333333,0.5333333333333333,0.4125
3798,0.7447698744769874,YJR141W,0.76,0.42028985507246375,0.3680555555555556
3799,0.616822429906542,YJR142W,0.6791808873720137,0.3892709766162311,0.2597535934291581
3801,0.6794788273615635,YJR144W,0.6524390243902439,0.6295162278015921,0.5544437904649794
3803,0.4190647482014389,YJR147W,0.4089481946624804,0.2956081081081081,0.2426900584795321
3805,0.6625607779578606,YJR148W,0.6661031276415892,0.4749856239217941,0.3058784456991033
3807,0.6551724137931034,YJR149W,,,
3817,0.5492957746478874,YJR154W,0.6567164179104478,0.28225806451612906,0.18867924528301888
3830,0.7873417721518987,YKL219W,0.7854889589905363,0.6756756756756757,0.6565656565656566
3840,0.7712121212121212,YKL216W,0.7701357466063349,0.6264236902050114,0.560067681895093
3841,0.8861434108527132,YKL212W,0.8681039949270767,0.6668336673346693,0.5415162454873647
3842,0.7892156862745098,YKL210W,0.7146974063400576,0.591304347826087,0.6234567901234568
3843,0.8047105004906772,YKL210W,0.7972465581977471,0.6175908221797323,0.4519480519480519
3846,0.8639455782312925,YKL208W,0.7647058823529411,0.5866141732283464,0.4398148148148148
3847,0.6879505664263645,YKL207W,0.7493946731234867,0.5524553571428571,0.46108663729809096
3849,0.7228525121555915,YKL205W,0.7145359019264448,0.5192307692307693,0.3970149253731343
3850,0.616580310880829,YKL204W,0.6503067484662577,0.3084832904884319,0.24289405684754525
3857,0.7387267904509284,YKL195W,0.7590163934426228,0.560853199498118,0.4652917505030181
3860,0.6605814739688979,YKL191W,0.680628272251309,0.4341637010676157,0.26666666666666666
3861,0.8582317073170732,YKL190W,0.8550873586844809,0.5900576368876079,0.4245541838134431
3862,0.7643678160919541,YKL189W,0.7734375,0.6418604651162789,0.5023696682464455
3869,0.6735042735042736,YKL185W,0.7392197125256673,0.4944974321349963,0.41618865519439135
3872,0.8323823109843081,YKL184W,0.8310428455941795,0.6967688483844242,0.6237785016286646
3873,0.6461538461538462,YKL183W,0.5921787709497207,0.2616487455197133,0.17966101694915254
3875,0.7712158808933003,YKL182W,0.7746523388116309,0.5988805970149254,0.5150624540778839
3876,0.8587746625129803,YKL182W,0.8756624541377904,0.7523413111342352,0.6576409985470876
3877,0.7068965517241379,YKL182W,0.6557377049180327,0.5830815709969789,0.4339152119700748
3883,0.6278046634403871,YKL181W,0.6414799374674309,0.47570532915360497,0.326186830015314
3886,0.5857818038597873,YKL180W,0.5802690957713522,0.3705754753094296,0.26659289253288393
3890,0.8121183654297792,YKL175W,0.78505291005291,0.6563039723661486,0.5084241823587711
3892,0.7481751824817519,YKL173W,0.7933333333333333,0.4368600682593857,0.2932098765432099
3894,0.8754901960784314,YKL172W,0.8778220451527224,0.6447613143211407,0.5330535152151101
3897,0.6470588235294118,YKL171W,,0.3709677419354839,0.21365638766519826
3898,0.583508036338225,YKL170W,0.5413060582218725,0.3808567603748327,0.3104895104895105
3903,0.4221635883905013,YKL163W,0.4297297297297297,0.19365079365079368,0.14958448753462605
3904,0.869198312236287,YKL163W,0.8756218905472637,0.7409797594602523,0.6478814732761008
3911,0.7027293653403486,YKL160W,0.7098628925254312,0.437911464245176,0.2805839906024501
3914,0.5873015873015873,YKL157W,,,
3915,0.8082595870206489,YKL157W,0.8070866141732284,0.8584905660377359,0.8627002288329519
3919,0.5416473425470736,YKL156W,0.5394760696156635,0.4009048453006421,0.31817070188310104
3921,0.5989717223650386,YKL154W,0.5813177648040033,0.3600917431192661,0.27502579979360164
3930,0.5920826161790017,YKL146W,0.5882352941176471,0.3094713656387665,0.2004521477015825
3933,0.7141377524598653,YKL145W,0.7407686510926903,0.4132439228834871,0.3328932893289329
3935,0.9181654676258992,YKL143W,0.9314750290360048,0.7197740112994351,0.5397273154677951
3936,0.478713339640492,YKL142W,0.4765625,0.29073756432247,0.22093023255813954
3938,0.8044217687074829,YKL141W,0.7856420626895855,0.6398860398860399,0.538562091503268
3939,0.6228373702422145,YKL140W,0.543778801843318,0.4898785425101215,0.3492063492063492
3940,0.456953642384106,YKL139W,0.4528301886792453,0.2663755458515284,0.2071428571428572
3941,0.8431372549019608,YKL137W,0.8312925170068027,0.8040693293142427,0.7409836065573772
3942,0.5277777777777778,YKL136W,0.5283018867924528,,
3956,0.7131782945736435,YKL127W,0.7181818181818181,0.5303867403314917,0.42435424354243545
3958,0.7860465116279071,YKL126W,0.7671394799054374,0.6715686274509803,0.5867374005305039
3959,0.5671641791044776,YKL126W,,0.4452054794520548,0.3484848484848485
3960,0.6476964769647696,YKL125W,0.61875,0.4077380952380952,0.3067010309278351
3961,0.6666666666666666,YKL124W,0.6463414634146342,0.5454545454545454,0.4076923076923077
3963,0.5677966101694916,YKL121W,0.5757575757575758,0.25,0.16423357664233576
3965,0.9270942867157378,YKL120W,0.9338768115942028,0.8135487880671224,0.6983606557377049
