ID,cap,uncap,wt1,Assigned_gene_name
612,34,37,0.4788732394366197,YCL027W
615,151,31,0.8296703296703297,YCL024W
616,2,3,0.4,YCL021W-A
617,1,0,1.0,YCL021W-A
619,459,85,0.84375,YCL019W
620,3,0,1.0,YCL019W
621,3,0,1.0,YCL019W
622,5,9,0.35714285714285715,YCL020W
623,635,124,0.836627140974967,YCL018W
625,4,0,1.0,YCL014W
626,129,115,0.5286885245901639,YCL014W
628,9185,1517,0.8582507942440666,YCL005W-A
629,10,12,0.4545454545454545,YCL005W
630,343,205,0.6259124087591241,YCL005W
632,107,22,0.8294573643410853,YCL004W
634,2656,949,0.7367545076282941,YCL001W
640,880,260,0.7719298245614035,YCR003W
650,940,287,0.7660961695191524,YCR008W
651,8,23,0.25806451612903225,YCR008W
654,4,1,0.8,YCR012W
655,184756,89271,0.6742255325205181,YCR012W
662,448,204,0.6871165644171779,YCR016W
666,15,4,0.7894736842105263,YCR019W
667,163,73,0.690677966101695,YCR019W
668,9,3,0.75,YCR019W
669,385,633,0.3781925343811395,YCR020W-B
682,17,2,0.8947368421052632,YCR032W
683,100,45,0.6896551724137931,YCR032W
684,326,97,0.7706855791962175,YCR033W
685,3992,512,0.8863232682060391,YCR034W
686,307,179,0.6316872427983539,YCR036W
691,14,15,0.4827586206896552,YCR045W-A
692,16,6,0.7272727272727273,YCR045W-A
695,8,2,0.8,YCR047W-A
696,440,240,0.6470588235294118,YCR048W
699,1260,318,0.7984790874524715,YCR051W
700,278,117,0.7037974683544304,YCR052W
702,1332,2562,0.3420647149460709,YCR053W
705,42,33,0.56,YCR060W
706,1219,360,0.7720075997466751,YCR060W
707,491,119,0.8049180327868852,YCR061W
713,89,46,0.6592592592592592,YCR063W
714,58,17,0.7733333333333333,YCR065W
715,58,13,0.8169014084507042,YCR065W
717,81,16,0.8350515463917526,YCR066W
718,2,0,1.0,YCR068W
719,30,6,0.8333333333333334,YCR068W
720,178,179,0.4985994397759104,YCR068W
721,799,360,0.6893874029335634,YCR069W
723,735,56,0.9292035398230089,YCR073W-A
726,2,0,1.0,YCR075W-A
727,871,110,0.8878695208970439,YCR075W-A
729,226,79,0.7409836065573772,YCR079W
731,216,48,0.8181818181818182,YCR081W
732,1279,616,0.674934036939314,YCR082W
733,441,131,0.7709790209790209,YCR083W
734,7,0,1.0,YCR085W
735,8,0,1.0,YCR086W
736,81,65,0.5547945205479452,YCR086W
737,8,3,0.7272727272727273,YCR087W
738,32,4,0.8888888888888888,YCR088W
739,65,185,0.26,YCR088W
741,84,42,0.6666666666666666,YCR089W
742,15,1,0.9375,YCR089W
743,1,1,0.5,YCR089W
745,20,10,0.6666666666666666,YCR091W
747,783,1212,0.3924812030075188,YCR093W
750,733,124,0.8553092182030338,YCR094W
751,36,19,0.6545454545454545,YCR095W-A
754,240,482,0.33240997229916897,YCR097W
755,4,0,1.0,YCR097W-A
767,7,4,0.6363636363636364,YCR102W-A
769,12,5,0.7058823529411765,YCR106W
770,229,72,0.760797342192691,YCR106W
771,0,1,0.0,YCR107W
782,34,47,0.41975308641975306,YDL241W
783,11,1,0.9166666666666666,YDL241W
784,115,50,0.696969696969697,YDL241W
785,9,0,1.0,YDL240W
786,146,36,0.8021978021978022,YDL240W
787,2,1,0.6666666666666666,YDL237W
788,347,461,0.4294554455445545,YDL237W
790,527,303,0.6349397590361445,YDL236W
793,100,73,0.5780346820809249,YDL233W
794,3003,596,0.8343984440122256,YDL232W
796,151,93,0.6188524590163934,YDL230W
797,26260,6867,0.7927068554351435,YDL229W
806,233,99,0.7018072289156626,YDL225W
809,8,3,0.7272727272727273,YDL221W
810,757,466,0.6189697465249386,YDL219W
811,2,1,0.6666666666666666,YDL218W
818,8645,1503,0.8518919984233346,YDL212W
822,2,1,0.6666666666666666,YDL210W
826,4831,3120,0.6075965287385234,YDL208W
